Actual Price,Predicted Price (Random Forest)
480141,460752.08
168771,165944.08
287656,277207.29
512596,461689.67
129217,130323.05
121858,128320.95
398221,386605.69
159293,161921.53
252858,251299.74
134136,136105.6
62928,73501.72
314411,300911.36
52266,54429.89
440624,420567.95
633826,621757.63
214493,216446.38
196745,206624.44
512588,523178.24
190136,190075.25
336239,338717.34
256399,266485.84
132780,143526.05
218347,215478.14
178311,190001.55
171213,165370.51
111828,111778.76
126444,156029.0
212126,199732.96
242725,231459.82
196500,198155.53
476223,491556.08
210530,210613.53
191273,193670.33
475935,457604.06
322552,290695.27
575350,591008.51
365567,371542.85
205285,203697.51
147969,150861.29
525124,531622.16
104383,113402.02
217190,216874.08
446019,429390.95
153199,154219.95
136148,127445.59
461109,454522.28
540301,561541.59
262076,263849.34
261478,275099.34
85464,95822.25
160483,156263.95
1003535,1029827.75
248005,239813.42
159104,148494.99
312461,309978.18
448359,466996.05
147576,149302.43
367546,373975.32
338702,337672.61
405580,417860.01
153527,148106.46
108062,103995.4
971985,940997.11
578215,589109.97
1347030,1294900.43
115601,115721.6
424913,417556.36
236007,233066.68
141172,135847.73
50416,49982.08
247745,253641.58
298411,302910.13
353259,341311.94
282820,276492.74
326007,320035.62
204006,216624.05
291677,293721.39
1042777,971233.74
372362,355859.02
367635,361612.73
226855,222019.78
278194,277015.52
187219,189177.29
486673,482672.55
329443,312936.18
423298,438164.7
233579,232791.87
262814,256031.14
153902,174684.73
742878,751246.85
320612,312868.15
238239,251593.9
239115,242298.52
159227,157389.7
685330,692911.17
129701,130313.39
145136,144327.84
854798,853856.291619048
207632,204667.87
141645,133599.84
289615,303452.91
277156,295302.61
238330,239180.98
282066,282345.2
204766,203918.0
513342,536819.57
340684,344235.42
262525,267487.43
161409,172107.62
394039,382422.05
359263,374226.41
175171,175520.52
253301,256739.75
129887,125685.86
542726,551908.47
821510,830028.25
315083,297909.31
1288940,576659.77
248904,248897.94
236930,212611.58
135960,135816.18
292817,278229.95
178696,177976.98
350559,354386.52
124654,128621.32
225156,220633.29
347485,355952.34
318602,321695.67
1116111,1072670.28
188404,183624.45
233303,233621.17
158760,162584.54
399157,402976.9
769724,774219.46
429187,433984.41
493882,501793.3
253406,257587.43
132784,116582.74
318631,322948.09
584059,569991.99
419564,426384.41
273062,268424.8
226108,226075.43
122676,123383.33
357548,356086.5
251482,254516.77
169085,167267.67
304805,310192.5
317282,307152.83
194961,194218.6
396155,400472.838
426901,425741.07
